Topic,Difficulty,Mean,Median,Variance,Minimum,Maximum,Low,Typical,High,LeftRangeWidth,RightRangeWidth
Divide and Conquer,1,59.22,62.4,182.22,34.9,85.7,45,55,60,5.489,2.3277
Divide and Conquer,2,43.04,42.7,148.64,17.1,68.7,70,80,100,1.2794,2.5974
Radix Sort,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Radix Sort,1,49.87,47.6,30.74,44.5,57.5,30,40,50,0.3097,0.989
Radix Sort,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Topological Sort,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Topological Sort,1,48.01,50.3,142.09,27.8,64.5,40,50,55,4.491,1.4186
Topological Sort,2,49.99,49.7,192.92,23.7,79.5,70,75,90,1.7322,5.9481
Minimum Spanning Tree,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Minimum Spanning Tree,1,67.7,67.7,0.0,67.7,67.7,60,65,70,0.0,0.0
Minimum Spanning Tree,2,67.2,67.2,0.0,67.2,67.2,80,85,95,0.0,0.0
Bucket Sort,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Bucket Sort,1,60.08,58.6,69.69,47.6,73.2,35,45,50,2.1956,1.4585
Bucket Sort,2,23.1,23.1,0.0,23.1,23.1,70,80,90,0.0,0.0
Line Sweep,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Line Sweep,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Line Sweep,2,39.92,43.2,177.88,17.1,54.3,75,80,95,1.7388,2.2156
Breadth-First Search,0,65.76,63.6,101.45,49.2,85.9,20,25,40,0.9594,4.4511
Breadth-First Search,1,58.04,58.6,126.62,27.3,86.3,40,45,65,1.5642,5.5289
Breadth-First Search,2,47.88,48.85,145.58,16.5,72.4,75,90,100,3.2318,1.569
Counting Sort,0,81.96,80.9,22.81,74.8,87.5,10,25,35,0.6094,0.4397
Counting Sort,1,56.93,57.5,196.24,39.5,73.8,35,40,45,3.5928,3.2535
Counting Sort,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Quickselect,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Quickselect,1,55.1,62.4,145.09,34.9,67.2,30,45,55,2.7473,0.3198
Quickselect,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Binary Search,0,61.41,61.45,153.98,37.5,87.5,20,25,30,4.7804,5.1996
