Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
500,-182.9,-182.9,707.934,707.934,0.001,0.001,0.465,0.465
1000,-166.752,-174.826,761.694,734.814,0.0,0.001,0.457,0.461
1500,-92.692,-147.448,959.892,809.84,0.002,0.001,0.435,0.452
2000,-36.743,-119.772,4099.261,1632.195,0.005,0.002,0.486,0.461
2500,-82.177,-112.253,744.07,1454.57,0.021,0.006,0.455,0.46
3000,-126.62,-114.647,482.648,1292.583,0.168,0.033,0.433,0.455
3500,-106.031,-113.416,643.647,1199.878,0.021,0.031,0.476,0.458
4000,-262.996,-132.114,4077.619,1559.595,0.043,0.033,0.461,0.459
4500,-86.533,-127.049,499.773,1441.837,0.074,0.037,0.467,0.46
5000,-159.685,-130.313,1127.403,1410.394,0.038,0.037,0.466,0.46
5500,-104.125,-127.932,464.981,1324.447,0.046,0.038,0.462,0.46
6000,-196.541,-133.65,2936.271,1458.766,0.056,0.04,0.468,0.461
6500,-43.919,-126.747,231.271,1364.343,0.081,0.043,0.437,0.459
7000,-101.914,-124.973,747.885,1320.311,0.08,0.045,0.463,0.46
7500,-88.417,-122.536,1897.575,1358.795,0.042,0.045,0.47,0.46
8000,-184.882,-126.433,2529.119,1431.94,0.059,0.046,0.46,0.46
8500,-69.047,-123.057,1028.616,1408.215,0.067,0.047,0.462,0.46
9000,-317.192,-133.843,2749.088,1482.708,0.186,0.055,0.439,0.459
9500,-110.374,-132.607,1262.225,1471.104,0.069,0.056,0.464,0.459
10000,-119.763,-131.965,1990.333,1497.065,0.062,0.056,0.468,0.46
10500,-147.523,-132.706,1071.865,1476.818,0.088,0.058,0.459,0.46
11000,-172.793,-134.528,2082.568,1504.352,0.053,0.057,0.465,0.46
11500,-120.876,-133.935,1428.779,1501.066,0.06,0.057,0.457,0.46
12000,-163.08,-135.149,1272.762,1491.553,0.07,0.058,0.46,0.46
12500,-92.86,-133.457,608.024,1456.212,0.119,0.06,0.434,0.459
13000,-114.593,-132.732,1907.159,1473.556,0.117,0.063,0.432,0.458
13500,-205.039,-135.41,2631.085,1516.428,0.054,0.062,0.435,0.457
14000,-132.308,-135.299,2217.022,1541.449,0.052,0.062,0.461,0.457
14500,-90.007,-133.737,867.346,1518.204,0.06,0.062,0.459,0.457
15000,-147.523,-134.197,2254.405,1542.744,0.036,0.061,0.463,0.457
15500,-75.854,-132.315,2116.652,1561.257,0.052,0.061,0.446,0.457
16000,-128.518,-132.196,1734.935,1566.685,0.042,0.06,0.459,0.457
16500,-47.841,-129.64,205.509,1525.437,0.057,0.06,0.455,0.457
17000,-104.209,-128.892,1908.035,1536.69,0.05,0.06,0.457,0.457
17500,6.268,-125.03,144.713,1496.919,0.147,0.062,0.112,0.447
18000,-107.226,-124.536,933.395,1481.266,0.045,0.062,0.448,0.447
18500,-68.032,-123.009,673.595,1459.437,0.075,0.062,0.425,0.447
19000,-99.764,-122.397,840.935,1443.16,0.046,0.062,0.439,0.446
19500,-117.931,-122.282,1380.052,1441.542,0.046,0.061,0.458,0.447
20000,-128.048,-122.426,2035.338,1456.387,0.035,0.061,0.466,0.447
20500,-107.471,-122.062,2021.705,1470.175,0.046,0.06,0.452,0.447
21000,-111.654,-121.814,1257.191,1465.104,0.051,0.06,0.464,0.448
21500,2.336,-118.927,33.208,1431.804,0.136,0.062,0.164,0.441
22000,-79.307,-118.026,545.215,1411.654,0.096,0.063,0.461,0.442
22500,-48.121,-116.473,210.633,1384.965,0.071,0.063,0.464,0.442
23000,-53.566,-115.105,205.305,1359.32,0.095,0.063,0.44,0.442
23500,-33.883,-113.377,295.484,1336.686,0.107,0.064,0.435,0.442
24000,-66.104,-112.392,344.142,1316.008,0.065,0.064,0.462,0.442
24500,-37.268,-110.859,108.245,1291.359,0.104,0.065,0.44,0.442
25000,-99.964,-110.641,1022.744,1285.987,0.071,0.065,0.455,0.442
25500,-92.948,-110.294,1132.088,1282.969,0.081,0.066,0.472,0.443
26000,-76.056,-109.636,1617.117,1289.395,0.101,0.066,0.474,0.444
26500,-72.319,-108.932,472.034,1273.973,0.099,0.067,0.454,0.444
27000,-126.254,-109.253,1646.437,1280.871,0.152,0.069,0.445,0.444
27500,-11.347,-107.472,71.163,1258.876,0.212,0.071,0.345,0.442
28000,-12.926,-105.784,119.211,1238.525,0.135,0.072,0.373,0.441
28500,-77.232,-105.283,614.726,1227.581,0.174,0.074,0.429,0.441
29000,-99.731,-105.188,1007.318,1223.784,0.107,0.075,0.461,0.441
29500,-72.79,-104.638,532.58,1212.068,0.154,0.076,0.439,0.441
30000,-143.916,-105.293,1827.59,1222.327,0.08,0.076,0.465,0.441
30500,69.283,-102.431,468.216,1209.964,0.13,0.077,0.451,0.441
31000,-123.931,-102.778,1525.294,1215.05,0.141,0.078,0.435,0.441
31500,-79.009,-102.401,470.0,1203.224,0.271,0.081,0.398,0.441
32000,-121.521,-102.699,1616.908,1209.688,0.113,0.082,0.451,0.441
32500,-95.238,-102.585,1931.922,1220.799,0.262,0.084,0.399,0.44
33000,-46.986,-101.742,374.267,1207.973,0.124,0.085,0.442,0.44
33500,-50.927,-100.984,408.144,1196.035,0.139,0.086,0.438,0.44
34000,-113.327,-101.165,1580.161,1201.684,0.07,0.085,0.472,0.441
34500,-83.393,-100.908,735.589,1194.929,0.108,0.086,0.456,0.441
35000,4.68,-99.399,149.409,1179.993,0.174,0.087,0.257,0.438
35500,-77.541,-99.091,569.456,1171.394,0.086,0.087,0.467,0.439
36000,-144.986,-99.729,1681.118,1178.474,0.299,0.09,0.373,0.438
36500,25.633,-98.012,126.779,1164.067,0.142,0.091,0.433,0.438
37000,-96.186,-97.987,620.248,1156.718,0.214,0.092,0.418,0.437
37500,-36.648,-97.169,125.202,1142.964,0.212,0.094,0.404,0.437
38000,-126.579,-97.556,2782.578,1164.538,0.116,0.094,0.448,0.437
38500,-146.146,-98.187,1289.4,1166.16,0.223,0.096,0.418,0.437
39000,-131.935,-98.62,1549.885,1171.079,0.123,0.096,0.458,0.437
39500,-3.413,-97.415,104.676,1157.581,0.315,0.099,0.209,0.434
40000,-89.042,-97.31,1121.062,1157.124,0.21,0.1,0.413,0.434
40500,-90.894,-97.231,529.429,1149.375,0.157,0.101,0.434,0.434
41000,-98.563,-97.247,1044.958,1148.101,0.13,0.101,0.457,0.434
41500,12.704,-95.922,96.827,1135.435,0.299,0.104,0.335,0.433
42000,-146.248,-96.521,2692.719,1153.975,0.199,0.105,0.404,0.433
42500,-72.333,-96.237,547.976,1146.845,0.216,0.106,0.431,0.433
43000,-118.637,-96.497,843.687,1143.32,0.131,0.107,0.447,0.433
43500,-0.67,-95.396,119.328,1131.55,0.214,0.108,0.176,0.43
44000,35.068,-93.913,85.379,1119.662,0.221,0.109,0.411,0.43
44500,-7.046,-92.937,8.079,1107.172,0.155,0.11,0.376,0.429
45000,-77.534,-92.766,1155.848,1107.713,0.287,0.112,0.347,0.428
45500,-90.305,-92.739,791.221,1104.235,0.14,0.112,0.453,0.428
46000,-78.146,-92.58,379.899,1096.362,0.182,0.113,0.436,0.429
46500,-34.504,-91.956,131.346,1085.985,0.267,0.114,0.384,0.428
47000,-85.564,-91.888,530.773,1080.079,0.127,0.114,0.457,0.428
47500,15.674,-90.756,64.625,1069.39,0.214,0.115,0.37,0.428
48000,0.619,-89.804,177.407,1060.098,0.296,0.117,0.043,0.424
48500,-21.68,-89.102,164.289,1050.863,0.099,0.117,0.424,0.424
49000,-39.4,-88.594,146.846,1041.638,0.224,0.118,0.39,0.423
49500,-2.455,-87.724,42.562,1031.547,0.188,0.119,0.286,0.422
50000,-142.76,-88.275,929.686,1030.528,0.242,0.12,0.411,0.422
50500,-51.758,-86.963,287.778,1026.327,0.085,0.121,0.452,0.422
51000,-36.045,-85.656,185.054,1020.56,0.274,0.124,0.36,0.421
51500,-75.024,-85.48,1428.046,1025.242,0.118,0.125,0.471,0.421
52000,-40.557,-85.518,309.498,987.344,0.099,0.126,0.431,0.421
52500,-5.077,-84.747,85.34,980.757,0.196,0.128,0.273,0.419
53000,-34.612,-83.827,409.131,980.022,0.143,0.127,0.406,0.419
53500,-0.352,-82.77,43.479,974.02,0.11,0.128,0.027,0.414
54000,-72.614,-80.866,384.979,937.094,0.109,0.129,0.455,0.414
54500,-69.267,-80.693,564.474,937.741,0.266,0.131,0.383,0.413
55000,-78.741,-79.884,662.316,933.09,0.12,0.132,0.46,0.413
55500,0.759,-78.835,4.534,928.485,0.283,0.134,0.193,0.41
56000,2.286,-76.847,36.037,899.483,0.388,0.137,0.073,0.406
56500,-8.316,-76.491,98.137,898.152,0.197,0.139,0.186,0.404
57000,-44.597,-75.918,177.705,892.45,0.104,0.139,0.462,0.404
57500,-38.671,-75.42,254.697,876.021,0.215,0.141,0.405,0.403
58000,-88.34,-74.455,615.698,856.887,0.222,0.142,0.422,0.403
58500,19.48,-73.569,118.397,847.785,0.272,0.144,0.391,0.402
59000,-67.72,-71.075,351.38,823.807,0.296,0.145,0.379,0.402
59500,21.129,-69.76,91.593,812.101,0.282,0.147,0.35,0.4
60000,-43.141,-68.993,118.958,793.387,0.128,0.148,0.455,0.4
60500,-37.86,-67.897,263.063,785.299,0.294,0.15,0.301,0.399
61000,-75.807,-66.927,388.349,768.357,0.193,0.152,0.435,0.398
61500,-11.686,-65.835,66.953,754.739,0.349,0.154,0.286,0.397
62000,-85.506,-65.059,640.687,748.418,0.163,0.155,0.433,0.396
