Timestep,ActorLoss,ActorLossMovingAvg,CriticLoss,CriticLossMovingAvg,ActorGradNorm,ActorGradNormMovingAvg,CriticGradNorm,CriticGradNormMovingAvg
44500,89.122,63.693,423.952,250.805,0.064,0.046,0.29,0.276
45000,-25.604,62.701,50.397,248.578,0.063,0.046,0.252,0.276
45500,34.675,62.393,75.893,246.681,0.099,0.046,0.132,0.274
46000,-13.833,61.565,102.008,245.108,0.056,0.046,0.195,0.273
46500,-22.016,60.666,27.861,242.772,0.067,0.047,0.221,0.273
47000,-42.49,59.569,65.668,240.888,0.057,0.047,0.296,0.273
47500,155.081,60.574,626.247,244.945,0.025,0.047,0.318,0.274
48000,47.056,60.433,138.585,243.837,0.045,0.047,0.26,0.273
48500,55.012,60.377,131.797,242.682,0.045,0.047,0.298,0.274
49000,97.921,60.76,310.484,243.374,0.068,0.047,0.264,0.274
49500,36.354,60.514,55.579,241.477,0.026,0.047,0.292,0.274
50000,-4.506,59.864,45.246,239.514,0.079,0.047,0.157,0.273
50500,39.811,60.064,71.025,238.66,0.059,0.047,0.3,0.273
51000,34.408,59.838,143.755,238.885,0.038,0.048,0.268,0.273
51500,12.552,59.594,99.455,239.219,0.044,0.047,0.22,0.273
52000,-25.222,58.574,26.936,238.466,0.125,0.049,0.296,0.273
52500,27.214,58.55,155.199,239.358,0.037,0.049,0.21,0.273
53000,48.184,59.329,83.006,239.523,0.03,0.049,0.235,0.273
53500,14.483,58.803,14.816,238.696,0.048,0.049,0.185,0.271
54000,-18.285,57.985,13.814,237.555,0.037,0.049,0.269,0.271
54500,87.794,58.483,367.797,240.835,0.051,0.05,0.301,0.272
55000,-47.139,57.998,75.511,241.386,0.034,0.05,0.297,0.275
55500,65.0,57.429,265.22,240.424,0.036,0.05,0.263,0.275
56000,-98.515,55.104,241.467,239.807,0.019,0.05,0.279,0.273
56500,76.807,55.396,274.043,242.189,0.04,0.05,0.252,0.273
57000,43.346,55.797,50.797,242.518,0.032,0.05,0.305,0.275
57500,10.453,55.029,21.608,240.854,0.037,0.049,0.202,0.274
58000,-57.916,54.33,235.854,243.088,0.035,0.049,0.271,0.275
58500,4.561,53.222,31.699,239.789,0.059,0.049,0.004,0.272
59000,68.916,52.159,124.548,233.102,0.05,0.05,0.317,0.272
59500,-49.313,51.609,111.187,234.038,0.043,0.05,0.268,0.272
60000,121.078,52.346,266.238,236.336,0.074,0.05,0.328,0.271
60500,-27.46,50.674,65.378,230.201,0.056,0.05,0.269,0.271
61000,53.852,50.988,85.609,230.825,0.059,0.05,0.286,0.271
61500,69.537,51.489,218.497,232.828,0.052,0.05,0.315,0.273
62000,27.121,50.721,52.181,229.941,0.03,0.05,0.272,0.273
62500,-55.775,49.537,469.998,233.667,0.028,0.05,0.255,0.272
63000,27.519,49.365,19.278,232.872,0.073,0.051,0.226,0.272
63500,86.872,49.495,384.894,232.868,0.06,0.051,0.318,0.273
64000,-33.917,48.314,154.567,232.686,0.071,0.051,0.279,0.272
64500,67.434,47.642,139.601,230.26,0.024,0.051,0.305,0.272
65000,36.796,46.976,90.452,228.206,0.027,0.051,0.301,0.273
65500,4.144,45.501,57.72,220.306,0.015,0.051,0.028,0.27
